"gene","drug","drug_concept_id","interaction_score","interaction_types","sources","key"
"BLK","XL-228","chembl:CHEMBL3545085",0.103578965394614,"","ChEMBL","XL-228|chembl:CHEMBL3545085"
"BLK","DOLICHOL PHOSPHATE","iuphar.ligand:3214",1.24294758473537,"","GuideToPharmacology","DOLICHOL PHOSPHATE|iuphar.ligand:3214"
"BLK","ERLOTINIB","rxcui:337525",0.0221954925845602,"","DTC","ERLOTINIB|rxcui:337525"
"BLK","BELUMOSUDIL","rxcui:2564025",0.124294758473537,"","DTC","BELUMOSUDIL|rxcui:2564025"
"BLK","ENMD-2076","iuphar.ligand:7885",0.0400950833785603,"","TdgClinicalTrial","ENMD-2076|iuphar.ligand:7885"
"BLK","GO-6976","drugbank:DB17029",0.0289057577845435,"","DTC","GO-6976|drugbank:DB17029"
"BLK","DOVITINIB","ncit:C76199",0.0123064117300532,"","DTC","DOVITINIB|ncit:C76199"
"BLK","FARNESYL THIODIPHOSPHATE","iuphar.ligand:3216",1.24294758473537,"","GuideToPharmacology","FARNESYL THIODIPHOSPHATE|iuphar.ligand:3216"
"BLK","ANTISENSE OLIGONUCLEOTIDES","ncit:C1291",0.0753301566506285,"","NCI","ANTISENSE OLIGONUCLEOTIDES|ncit:C1291"
"BLK","ILORASERTIB","ncit:C116729",0.0214301307712995,"","ChEMBL;DTC","ILORASERTIB|ncit:C116729"
"BLK","ENMD-981693","drugbank:DB16891",0.0654182939334405,"","ChEMBL","ENMD-981693|drugbank:DB16891"
"BLK","CHEMBL:CHEMBL578061","chembl:CHEMBL578061",0.0497179033894148,"","DTC","CHEMBL:CHEMBL578061|chembl:CHEMBL578061"
"BLK","DASATINIB ANHYDROUS","rxcui:1546019",0.0163545734833601,"","ChEMBL","DASATINIB ANHYDROUS|rxcui:1546019"
"BLK","GERANYL DIPHOSPHATE","drugbank:DB02552",1.24294758473537,"","GuideToPharmacology","GERANYL DIPHOSPHATE|drugbank:DB02552"
"BLK","SP-600125","chembl:CHEMBL1725279",0.0139657031992738,"","DTC","SP-600125|chembl:CHEMBL1725279"
"BLK","TG100-801","chembl:CHEMBL403989",0.0776842240459606,"","ChEMBL","TG100-801|chembl:CHEMBL403989"
"BLK","MLN-8054","iuphar.ligand:5696",0.042860261542599,"","DTC","MLN-8054|iuphar.ligand:5696"
"BLK","GERANYLGERANYL DIPHOSPHATE","drugbank:DB07841",0.621473792367685,"","GuideToPharmacology","GERANYLGERANYL DIPHOSPHATE|drugbank:DB07841"
"BLK","ISOPENTENYL PYROPHOSPHATE","drugbank:DB04714",0.414315861578457,"","GuideToPharmacology","ISOPENTENYL PYROPHOSPHATE|drugbank:DB04714"
"BLK","PF-562271","iuphar.ligand:9381",0.0115087739327349,"","DTC","PF-562271|iuphar.ligand:9381"
"BLK","ENTRECTINIB","rxcui:2197862",0.0218060979778135,"","DTC","ENTRECTINIB|rxcui:2197862"
"BLK","LINIFANIB","ncit:C71759",0.0155368448091921,"","DTC","LINIFANIB|ncit:C71759"
