"gene","drug","drug_concept_id","interaction_score","interaction_types","sources","key"
"HSD17B10","DIPYRIDAMOLE","rxcui:3521",0.0022571687374129,"","DTC","DIPYRIDAMOLE|rxcui:3521"
"HSD17B10","AMILORIDE","rxcui:644",0.00743537937030132,"","DTC","AMILORIDE|rxcui:644"
"HSD17B10","SURAMIN HEXASODIUM","chembl:CHEMBL413376",0.0105334541079269,"","DTC","SURAMIN HEXASODIUM|chembl:CHEMBL413376"
"HSD17B10","CHEMBL:CHEMBL329673","chembl:CHEMBL329673",0.0114910408450111,"","DTC","CHEMBL:CHEMBL329673|chembl:CHEMBL329673"
"HSD17B10","TYRPHOSTIN A9","ncit:C2026",0.00574552042250556,"","DTC","TYRPHOSTIN A9|ncit:C2026"
"HSD17B10","BENZOTHIAZYL DISULFIDE","chembl:CHEMBL508112",0.0316003623237806,"","DTC","BENZOTHIAZYL DISULFIDE|chembl:CHEMBL508112"
"HSD17B10","CARBIDOPA ANHYDROUS","rxcui:1545982",0.0126401449295122,"","DTC","CARBIDOPA ANHYDROUS|rxcui:1545982"
"HSD17B10","CAPSAZEPINE","iuphar.ligand:2461",0.00574552042250556,"","DTC","CAPSAZEPINE|iuphar.ligand:2461"
"HSD17B10","ELLAGIC ACID","rxcui:1043181",0.0045143374748258,"","DTC","ELLAGIC ACID|rxcui:1043181"
"HSD17B10","AMINACRINE","rxcui:645",0.0632007246475612,"","DTC","AMINACRINE|rxcui:645"
"HSD17B10","CHEMBL:CHEMBL184450","chembl:CHEMBL184450",0.0090286749496516,"","DTC","CHEMBL:CHEMBL184450|chembl:CHEMBL184450"
"HSD17B10","CHEMBL:CHEMBL605747","chembl:CHEMBL605747",0.0421338164317075,"","DTC","CHEMBL:CHEMBL605747|chembl:CHEMBL605747"
"HSD17B10","7-NITROINDAZOLE","drugbank:DB02207",0.0180573498993032,"","DTC","7-NITROINDAZOLE|drugbank:DB02207"
"HSD17B10","CICHORIC ACID","chembl:CHEMBL282731",0.126401449295122,"","DTC","CICHORIC ACID|chembl:CHEMBL282731"
